Category,Scientific Name,Hebrew Name
חרקים אחרים,Hypotia corticalis,היפוטיה קורטיקליס
חרקים אחרים,Watsonalla uncinula,ווטסונלה אוניקולה
חרקים אחרים,Zebeeba falsalis,זבבה פלסאליס
חרקים אחרים,Zygaena brizae,זיגנה בריזאה
חרקים אחרים,Zekelita ravalis,זקליטה רבליס
חרקים אחרים,Zethes insularis,זתס אינסולריס
חרקים אחרים,Tegostoma baphialis,טגוסטומה בפילס
חרקים אחרים,Teinoptera gafsana,טיינופטרה גפסנה
חרקים אחרים,Trichophaga bipartitella,טריכופגה ביפרטיטלה
חרקים אחרים,Euproctis fasciata,יופרוקטיס סוזנה
חרקים אחרים,Choreutis aegyptiaca,כוראוטיס אגיפטיאקה
חרקים אחרים,Choreutis sexfasciella,כוראוטיס סקספסיאלה
חרקים אחרים,Chamaesphecia chalciformis,כמספציה חלקיפורמיס
חרקים אחרים,Chamaesphecia masariformis,כמספציה מסריפורמיס
חרקים אחרים,Charissa subtaurica,כריסה סובטאוריקה
חרקים אחרים,Leucochlaena jordana,לאוקוכלאנה ירדנית
חרקים אחרים,Leucochlaena muscosa,לאוקוכלאנה מוסקוסה
חרקים אחרים,Loryma egregialis,Pied Tabby
חרקים אחרים,Lithostege palaestinensis,ליתוסטגה פלשתינאית
חרקים אחרים,Lithophane lapidea,ליתופנה לפידאה
חרקים אחרים,Lasiocampa josua,טוואי יהושע
חרקים אחרים,Lasiocampa terreni,לסיאוקמפה טרני
חרקים אחרים,Meganola togatulalis,מגנולה טוגטולליס
חרקים אחרים,Metachrostis velox,מטאכרוסטיס וולוקס
חרקים אחרים,Metasia rosealis,מטאסיה רוזאליס
חרקים אחרים,Mattia callidaria,מטיאה קלידריה
חרקים אחרים,Microloxia herbaria,מיקרולוקסיה הרבריה
חרקים אחרים,Micronola wadicola,מיקרונולה ואדיקולה
חרקים אחרים,Micropterix elegans,מיקרופטריקס אלגנס
חרקים אחרים,Micropterix berytella,מיקרופטריקס בריטלה
חרקים אחרים,Mythimna languida,מיתימנה לנגווידה
חרקים אחרים,Mesophleps corsicella,מסופלפס קורסיקלה
חרקים אחרים,Merulempista turturella,מרולמפיסטה טורטורלה
חרקים אחרים,Nola infantula,נולה אינפנטולה
חרקים אחרים,Neromia pulvereisparsa,נרומיה פולוורייזפרסה
חרקים אחרים,Sazonia fenusaeformis,סזוניה פנוסאפורמיס
חרקים אחרים,Stathmopoda auriferella,סטאתמופודה אוריפרלה
חרקים אחרים,Stilbina hypaenides,סטילבינה היפנידס
חרקים אחרים,Cybalomia pentadalis,סיבלומיה פנטדליס
חרקים אחרים,Symmoca signatella,סימוקה סיגנטלה
חרקים אחרים,Synanthedon stomoxiformis,סיננתדון סטומקסיפורמיס
חרקים אחרים,Synaphe morbidalis,סינפה מורבידליס
חרקים אחרים,Scopula minorata,סקופולה מינורטה
חרקים אחרים,Scythris flabella,סקיתריס פלבלה
חרקים אחרים,Chlorissa etruscaria,פאיוגרמה אטרוסקריה
חרקים אחרים,Phaiogramma faustinata,פאיוגרמה פאוסטנטה
חרקים אחרים,Phaselia deliciosaria,פאסליה דליסיוסריה
חרקים אחרים,Polymixis ivanchiki,פולימיקסיס איוונטשיקי
חרקים אחרים,Polymixis trisignata,פולימיקסיס טריסיגנטה
חרקים אחרים,Polymixis serpentina,פולימיקסיס סרפנטינה
חרקים אחרים,Furcula interrupta,דו זיפן הצפצפה
חרקים אחרים,Pterophorus ischnodactyla,פטרופורוס אישנודקטילוס
חרקים אחרים,Pyroderces argyrogrammos,פירודרסס ארגירוגרמוס
חרקים אחרים,Pyropteron jordanicum,פירופטרון ירדני
חרקים אחרים,Pelochrista labyrinthicana,פלוכריסטה לבירינטיקנה
