Unmatched species from master-species-map.ts after join with species_master_list.csv
Total unmatched: 1762

Trifolium campestre
Trifolium clusii
Trifolium clypeatum
Trifolium fragiferum
Trifolium nigrescens
Trifolium pilulare
Trifolium purpureum
Trifolium resupinatum
Trifolium scabrum
Trifolium spumosum
Trifolium vavilovii
Trigonella lilacina
Tringa glareola
Tringa nebularia
Trithemis annulata
Trithemis arteriosa
Tropinota hirta
Tropinota squalida
Tropinota squalida pilosa
Tulipa agenensis
Turdus merula
Tylopsis lilifolia
Typha domingensis
Typha latifolia
Ulmus minor
Upupa epops
Urospermum picroides
Urtica pilulifera
Urtica urens
Vagaria parviflora
Vanellus spinosus
Variospora aurantia
Verbascum sinuatum
Verbena officinalis
Verbena supina
Veronica anagallis-aquatica
Veronica panormitana
Vespula germanica
Vicia hybrida
Vicia narbonensis
Vicia palaestina
Vicia peregrina
Vicia sativa
Vicia sericocarpa
Vicia villosa
Visnaga daucoides
Vitex agnus-castus
Volvopluteus gloiocephalus
Vulpes vulpes
Wadicosa fidelis
Wasmannia auropunctata
Watsonalla binaria
Withania somnifera
Xanthium orientale
Xanthium spinosum
Xanthium strumarium
Xanthogaleruca luteola
Xanthorhoe pseudogaliata
Xeropicta krynickii
Xestia cohaesa
Xylocampa mustapha
Xylocopa iris
Xylocopa pubescens
Xystrocera globosa
Zannichellia palustris
Ziziphora capitata
Zoropsis lutea
Ablattaria
Acalyptratae
Acanthaclisini
Acanthobrama
Accipitridae
Accipitriformes
Acrididae
Acrididea
Acridoidea
Acrobasis
Acrotylus
Actinopterygii
Aculeata
Acyrthosiphon
Adonis
Aelurillini
Agaricomycetes
Agaricomycetidae
Agaricus
Agave
Agdistis
Agelena
Agelenidae
Agonopterix
Agriphila
Agrochola
Agrotis
Aiolopus
Alcea
Allium
Alopecosa
Alopecurus
Altica
Amara
Amaranthaceae
Amaranthus
Amegilla
Amphicominae
Anagallis
Anas
Anatrachyntis
Ancylolomia
Andrena
Angiospermae
Animalia
Anisoptera
Annelida
Anseriformes
Anthemideae
Anthemidinae
Anthemis
Anthomyia
Anthophila
Anthracinae
Antirrhinum
Antrodia
Anura
Apertochrysa
Aphididae
Aphomia
Apiaceae
Apinae
Apioideae
Aplidia
Aplocnemus
Apodidae
Aquarius
Araneae
Araneidae
Araneomorphae
Arctiinae
Ardea
Ardeidae
Ardeinae
Argiope
Arthropoda
Artiodactyla
Arundinoideae
Arundo
Ascalaphinae
Asilinae
Asphodelus
Asteraceae
Astereae
Asteroideae
Atriplex
Auchenorrhyncha
Avena
Aves
Baeotendipes
Baetidae
Barbitistini
Basidiomycota
Batia
Bembix
Beta
Bibio
Biston
Blaptinae
Boarmiini
Bombylella
Bombyliidae
Bombylius
Botrydium
Brachycera
Brachycerus
Braconidae
Brassicaceae
Brassiceae
Brassicodae
Bromus
Bruchinae
Bryonieae
Bryopsis
Buthidae
Cadra
Caelifera
Calamotropha
Calliphoridae
Calliptamus
Calyptratae
Campanula
Camponotus
Canidae
Canis
Cantharidae
Cantharini
Capsella
Carabidae
Carabus
Caradrina
Caradrinini
Carcharodus
Cardamine
Cardueae
Carduinae
Carduoideae
Carnivora
Caryophyllaceae
Cenchrinae
Centaurea
Centrocoris
Ceratopogonidae
Cetoniinae
Chaetocnema
Chaetophiloscia
Chamaeleon
Charadriiformes
Charissa
Cheiracanthiidae
Cheiracanthium
Cheirodes
Chenopodium
Chironomidae
Chironomus
Chlorophyta
Chorthippus
Chrysididae
Chrysolina
Chrysomelidae
Chrysomya
Chrysoperla
Chrysops
Cicadellidae
Cichorieae
Clitocybaceae
Clitocybe
Clytrini
Clytus
Coccinella
Coccinellidae
Coccinellini
Coenagrionidae
Coenagrionoidea
Coleophora
Coleoptera
Collemataceae
Columba
Columbidae
Coniopterygidae
Conocephalus
Convolvulaceae
Convolvulus
Coprinellus
Coranus
Coriarachnini
Corixini
Corixoidea
Corvus
Corydiidae
Crambidae
Crambini
Crataegus
Crematogaster
Creoleon
Crepis
Crinocheta
Cryphia
Cucujiformia
Culicomorpha
Curculio
Curculionoidea
Cyclorrhapha
Cydnidae
Cylindromyia
Cynara
Cynipini
Cynoglossum
Cyperaceae
Cyperoideae
Cyperus
Dasytinae
Datura
Daucus
Deltocephalinae
Depressaria
Dialictus
Dictyopharinae
Dilophus
Diplotaxis
Dipsacoideae
Diptera
Dociostaurus
Dolichopeza
Domestici
Drassodes
Drilus
Dubiaranea
Duroniella
Eilema
Elateridae
Empididae
Empidoidea
Empis
Endotricha
Endotrichini
Enoplops
Entelegynae
Entiminae
Entoloma
Ephedra
Ephemeroptera
Epilobium
Episema
Equidae
Equus
Erebidae
Eremiaphiloidea
Eremocoris
Erigeron
Erinaceinae
Erodium
Eteodermaptera
Eublemma
Eucera
Eugnatha
Eumeninae
Euophryini
Euphorbia
Euphorbiaceae
Eupithecia
Euryopicoris
Evippa
Exechiini
Eyprepocnemidini
Fabaceae
Faboideae
Fannia
Felidae
Foeniculum
Formicidae
Fumana
Fumarieae
Fumarioideae
Fungi
Gastrallus
Gastropoda
Gelechiidae
Gelechioidea
Geometridae
Geometrinae
Geophilomorpha
Geranium
Glaphyridae
Glebionis
Gloeophyllum
Gnaphosidae
Goniagnathus
Gorytes
Grapholitini
Graphosoma
Gryllidae
Gryllinae
Grylloidea
Gryllus
Gymnoscelis
Hadena
Haplomalachius
Hasarius
Heleomyzidae
Helicellinae
Helicidae
Helicina
Helicoidea
Helicoidei
Heliothinae
Heliotropium
Helobdella
Helochares
Hemerobiidae
Hemerobius
Heriades
Herpestes
Herpetogramma
Hersilia
Hesperiidae
Heteracris
Heteroptera
Hilara
Hippodamia
Histerini
Hogna
Holcopogoninae
Homoneura
Hordeum
Hyalidae
Hybotidae
Hydropsyche
Hylaeus
Hypsopygia
Hystrix
Ichneumonidae
Idaea
Inonotus
Insecta
Ischnura
Julidae
Juliformia
Juncus
Kalotermes
Kickxia
Knautia
Lamiaceae
Lanelater
Langona
Larentiinae
Larinia
Larus
Lasiocampa
Lasioglossum
Laudakia
Laurasiatheria
Lecanoromycetes
Lemonia
Leontodon
Lepidoptera
Lepismatidae
Leucaniini
Libellulidae
Life
Lilioceris
Liliopsida
Limacidae
Limacus
Limnophora
Limoniinae
Linum
Linyphiidae
Lithobiomorpha
Lithosiina
Lomelosia
Loteae
Lotus
Lumbricidae
Lycaenidae
Lycosidae
Lycosinae
Lycosoidea
Lycosoides
Lymnaeoidea
Lysimachia
Lythrum
Macariini
Maccevethus
Macraulacini
Macrosiphini
Macrotylus
Magnoliopsida
Malachiina
Malthodes
Malva
Mammalia
Medetera
Megachile
Melanoleuca
Melanopsis
Melanotus
Melitaea
Meloe
Meloidae
Meloinae
Melolonthinae
Menemerus
Mentha
Menthinae
Mercurialis
Messor
Micronecta
Micronola
Micropterix
Miridae
Mirini
